图录号(ABCD),禁止出关(BCD),中文作者,中文名称(ABCD),中文作者二,中文名称二( B),中文年代(ABC),中文材质(AB),中文签名(A),题识钤印(AB),中文出版(ABC),中文展览(ABC),中文来源(AB),中文描述(ABCD),中文纪录（BC),中文著录（B),中文款识（C),中文收藏（C),中文参阅 C,英文作者(AB),英文名称(ABCD),英文年代(ABC),英文材质(AB),英文签名(AB),英文出版(AC),英文展览(AC),英文来源(AC),英文参阅（C),尺寸(ABC),估价(ABCD)
311,,吴青霞,荣华喜降,沈惟楚,节临黄庭坚《松风阁诗帖》,17.5×48 cm. 约0.76平尺,成扇 设色纸本、水墨洒金笺,,正面：信卿先生法家属，癸巳（1953年）秋日，青霞写。<br>钤印：吴青霞<br>背面：（文略）信卿吾兄属，霜厂。<br>钤印：沈惟楚,,,,沈惟楚，号霜厂，江苏苏州人，早年毕业于上海圣约翰大学，精通英文，以翻译影片《魂断蓝桥》、《乱世佳人》、《绿野仙踪》等经典影片闻名。擅书法，工诗词，著有《霜厂吟草》。,,,,,,WU QINGXIA AND SHEN WEICHU,"WILLOW, HIBISCUS AND INSECTS",,"Folding fan, ink and color on paper, ink on gold-flecked paper.","Signed Qingxia, with a dedication and one seal of the artist.",,,,,17.5×48 cm. 约0.76平尺," 20,000-28,000"
312,,唐云,书画合璧扇,,,17.5×46 cm. 约0.72平尺,成扇 设色泥金笺、水墨洒金笺,,正面：茶熟香温有客至，可喜可慰也。陈用卿壶铭，王耕同志甚爱，即写之为正属，一九七二年一月二十一日，唐云。 钤印：杭人唐云之玺<br>背面：（自作诗，文略）辛亥（1971年）秋日，唐云书。<br>钤印：唐云,,,,,,,,,,TANG YUN ,PAINTING AND CALLIGRAPHY,,"Folding fan, ink and color on gold-flecked paper.","Signed Tang Yun, inscribed, with one seal of the artist.",,,,,17.5×46 cm. 约0.72平尺,"15,000-22,000"
313,,殷梓湘,春溪浴马,赵宗抃,金文五种,18.2×50.5 cm. 约0.83平尺,成扇 设色纸本,,正面：羁勒风尘叹不才，幸逢青眼柳初开。廉泉不许人贪饮，犹待忠觞渴马来。乙酉六月下浣，梓湘殷锡梁。<br>钤印：殷锡梁印、梓湘、青照楼、丰乐堂<br>背面：1.（文略）尹氏簠。尹氏赉良作旅簠，其万年子子孙孙永宝用。2.（文略）王妇匜。王妇㠱孟姜作旅匜，其万年眉寿用之。3.（文略）愙鼎。启乃师众觌王为周愙，锡贝五朋用为宗器，鼎鼎敦敦，其用享于乃帝考。4.（文略）伯闢敦。伯闢作尊敦，其子子孙孙万年宝用。5.（文略）丰兮节敦。丰兮节作朕皇考尊敦，节其万年子孙永宝用享考。承浩先生雅斠，悔盦赵宗抃乙酉作，时年七二。 钤印：悔翁书箑,,,,赵宗忭，字蜀琴，号悔盦，江苏镇江人，精诗词古文，擅书法篆刻。,,,,,,YIN ZIXIANG AND ZHAO ZONGBIAN,BATHING HORSES,1945,"Folding fan, ink and color on paper.","Signed Yin Xiliang, dated 1945, with four seals of the artist.",,,,,18.2×50.5 cm. 约0.83平尺," 20,000-28,000"
314,,戈湘岚,江畔双骏,钱崇威,明人书札,18.4×50 cm. 约0.83平尺,成扇 设色纸本,,正面：仲川先生雅正，丙戌初夏，湘岚。<br>钤印：戈荃<br>背面：乡居极幽寂，春来卉草种种，又多海鱼新菜，差之幸也。足下兴小佳，便从蓝舆来，一醉花下。《王百谷与俞仲蔚书》。闻欲挹紫之秀，斟练溪之清，吟屐东来，当拏小舟下桐江，泊钓台以俟。《程敏政柬刘振之》。丙戌立夏后六日雨窗，似仲川先生法正，存雁钱崇威。<br>钤印：钱崇威印、甲辰翰林、小蔬枰,,,,,佳士得香港，2005年11月28日，编号853,,,,,GE XIANGLAN AND QIAN CHONGWEI,TWO HORSES,1946,"Folding fan, ink and color on paper.","Signed Xianglan, dated bingxu,1946, with a dedication and one seal of the artist.",,,,,18.4×50 cm. 约0.83平尺," 12,000-18,000"
315,,金心兰,枝头万点春,李祖韩,疏花共岁寒,16×50 cm. 约0.72平尺,成扇 水墨纸本、设色纸本,,正面：谁说梅花画不真，要从疏淡见精神。美人骨格高人趣，便是枝头一点春。甲辰（1904年）四月中浣，请竹麟仁兄大人大雅教正，心兰并题。<br>钤印：瞎牛<br>背面：瘦影横斜墨未干，旧时月色忆豪端。平生厌看闲桃李，自写疏花共岁寒。丙戌（1946年）七月，李祖韩。<br>钤印：南湖画印,,,,,,,,,,JIN XINLAN AND LI ZUHAN ,PLUM BLOSSOM,,"Folding fan, ink on paper, ink and color on paper.","Signed Xinlan, with a dedication and one seal of the artist.",,,,,16×50 cm. 约0.72平尺," 15,000-22,000"
316,,许 昭,如松之寿,黄葆戉,临《无㠱敦诏》,18.1×48.5 cm. 约0.79平尺,成扇 设色纸本、水墨泥金笺,,正面：乙丑五月初吉，静姑、美姑、之浩、珊姑、之同，同恭祝拔可表兄五十寿辰，扬州许昭写。 钤印：许、昭<br>背面：（文略）右《齐镈铭》，曾为攀古楼藏器。（文略）《无㠱敦铭》。拔可老表兄五十寿，殷静姑偕弟妹恭祝。长乐黄葆戉模。 钤印：黄葆戉印、蔼农,,,,上款“拔可”即李宣龚（1876-1952），字拔可，福建福州人。民国间供职于商务印书馆，并担任经理、发行所所长等职。擅诗文，工书法、富收藏。,,,,,,XU ZHAO AND HUANG BAOYUE ,PINE TREES,1925,"Folding fan, ink and color on paper, ink on gold-flecked paper.","Signed Xu Zhao, dated 1925, with two seals of the artist.",,,,,18.1×48.5 cm. 约0.79平尺," 12,000-18,000"
317,,沈心海,五老图,谭泽闿,欧阳修信札,19.2×51.5 cm. 约0.89平尺,成扇 设色纸本,,正面：五老图。壬申（1932年）仲夏，仿新罗山人笔，瑶笙仁兄法家指正，心海弟沈兆涵时年七十有七。<br>钤印：兆涵<br>背面：（文略）辛未（1931年）中秋后二日雨窗，写奉瑶笙仁兄法家正腕，谭泽闿。 钤印：瓶斋,,,,上款“瑶笙”即画家程璋。,,,,,,SHEN XINHAI AND TAN ZEKAI ,FIVE OLD MEN,,"Folding fan, ink and color on paper.","Signed Shen Zhaohan, entitled, with a dedication and one seal of the artist.",,,,,19.2×51.5 cm. 约0.89平尺,"6,000-9,000"
318,,金梦石,杞菊延年,高振霄,苏轼《台头寺步月得人字》,18.6×50.5 cm. 约0.85平尺,成扇 设色纸本、水墨洒金笺,,正面：杞菊延年。廉泉先生法正，丁亥春，七十九叟金梦石写。 钤印：梦石长寿、彭城金氏<br>背面：（文略）丁亥春稧，廉泉仁兄雅鉴，高振霄。<br>钤印：振霄、甲辰翰林、烈日青霜,,,,,,,,,,JIN MENGSHI AND GAO ZHENXIAO,CHRYSANTHEMUM AND CHOOK,1947,"Folding fan, ink and color on paper, ink on gold-flecked paper.","Signed Jin Mengshi, entitled, dated dinghai,1947, with a dedication and two seals of the artist.",,,,,18.6×50.5 cm. 约0.85平尺," 15,000-22,000"
319,,钱化佛画，钱崇威题,礼佛图,田 桓,赵孟頫诗七首,18.7×49.5 cm. 约0.83平尺,成扇 设色纸本,,正面：（钱崇威题）礼佛图。纯葆居士慧鉴，乙未夏钱化佛画年七二，钱崇威题年八六。<br>钤印：钱崇威印、甲辰翰林、化佛、钱化佛七十以后所作<br>背面：（文略）莼葆先生法正，田桓。 钤印：寄苇,,,,,,,,,,QIAN HUAFO AND TIAN HUAN ,BUDDHA,,"Folding fan, ink and color on paper.","No Sigature, entitled, annotation by Qian Chongwei, with a dedication and four seals of artists.",,,,,18.7×49.5 cm. 约0.83平尺,"6,000-9,000"
320,,徐绶臣,滕王阁,庞国钧,杜甫诗十四首,18.7×50.5 cm. 约0.85平尺,成扇 设色纸本,,正面：（王勃《滕王阁序》，文略）癸酉夏，燕庭先生正之，虞山徐绶臣写于松花轩。<br>钤印：徐英、徐<br>背面：（文略）久不作楷，眼生缬矣，勉应燕庭先生之属，癸酉七夕，弟庞国钧。<br>钤印：臣、钧、听秋馆,,,,,,,,,,XU SHOUCHEN AND PANG GUOJUN,PAVILION OF PRINCE TENG,1933,"Folding fan, ink and color on paper.","Signed Xu Shouchen, dated guiyou,1933, with a dedication and two seals of the artist.",,,,,18.7×50.5 cm. 约0.85平尺," 20,000-28,000"
321,,陈麐祥,壹百零八罗汉,李重生,节录《金刚经》,18.8×51 cm. 约0.86平尺,成扇 设色纸本,,正面：壹佰零捌罗汉图。人间能除一切苦，真实不虚，故说般若波罗蜜多咒曰：揭谛揭谛，波罗揭谛，波罗僧揭谛，菩提萨婆诃。《般若波罗蜜多心经》。以应剑樵先生法家正之，沽上洛厂主人陈麐祥作。 钤印：麐祥<br>背面：（文略）壬午（1942年）季秋，书《金刚般若波罗密经》七分于津门，为剑樵先生方家教正，若痴李重生。 钤印：李重生,《虚怀斋藏中国书画精品集》第268页，保利艺术博物馆，2010年11月,“虚怀斋藏中国书画精品展”，保利艺术博物馆，2010年11月3日至8日,,陈麐祥，号知愚厂，天津人。湖社成员，曾任职于天津人民美术出版社及天津杨柳青画社。擅工笔人物、山水，精界画楼阁。,,,,,,CHEN LINXIANG AND LI CHONGSHENG,ARHATS,,"Folding fan, ink and color on paper, ink on paper.","Signed Chen Linxiang, entitled, with a dedication and one seal of the artist.",,,,,18.8×51 cm. 约0.86平尺," 25,000-32,000"
322,,张石园,松柏同春,郑慕康,沈莱舟像,18×50.7 cm. 约0.82平尺,成扇 设色发笺、设色纸本,,正面：松柏同春。壬辰秋日，似弱余轩主清赏，石园居士。<br>钤印：克和、张石园、研云山馆<br>背面：壬辰秋日，为弱余轩主写照，并希雅正，慕康郑师玄。<br>钤印：郑师玄、慕康,,,,与编号358拍品为同一上款，上款“弱余轩主”即沈莱舟（1894-1987），字宏让，号弱余轩主，江苏苏州人。上海“绒线大王”，“恒源祥”创始人。雅好书画，海上名家多有佳作相赠。是箑一面由张石园绘松柏同春，另面郑慕康为沈莱舟写真，为沈六十大寿贺礼，极见精心。,,,,,,ZHANG SHIYUAN AND ZHENG MUKANG,PINE AND CYPRESS,1952,"Folding fan, ink and color on paper.","Signed by Zhang Shiyuan, entitled, dated renchen,1952, with a dedication and three seals of the artist.",,,,,18×50.7 cm. 约0.82平尺," 30,000-40,000"
323,,张石园 ,书画合璧扇,,,18.5×50 cm. 约0.83平尺,成扇 设色纸本,,正面：黄鹤山樵《松窗读易图》笔法，石园居士擬于海上。<br>钤印：张克和印、石园<br>背面：至如钟繇隶奇，张芝草圣，此乃专精一体，以致绝（纶）伦。伯英不真，而点画狼藉，元常不草，使转纵横。自兹已降，不能兼善者，有所不逮，非专精也。味萍先生雅正，张克和。<br>钤印：张石园,《朵云轩藏品第六集》第371页，上海书画出版社，2005年6月,,,,,,,,,ZHANG SHIYUAN,PAINTING AND CALLIGRAPHY,,"Folding fan, ink and color on paper.","Signed by Zhang Shiyuan, with two seals of the artist.",,,,,18.5×50 cm. 约0.83平尺,"10,000-15,000"
324,,吴青霞 ,赤壁泛棹,钱以振,节临《书谱》,18×48 cm. 约0.78平尺,成扇 设色纸本、水墨洒金笺,,正面：周郎赤壁走曹公，万里江流斗两雄。苏子赋成奇伟甚，长教人想谪仙风。戊寅（1938年）夏六月，以奉尧性先生鉴家指正，篆香阁主吴青霞写于沪。<br>钤印：吴、青霞<br>背面：（文略）书奉尧性先生哂政，钱以振。<br>钤印：钱以振印,《朵云轩藏品第六集》第371页，上海书画出版社，2005年6月,,,,,,,,,WU QINGXIA AND QIAN YIZHEN,BOATING UNDER CHIBI,,"Folding fan, ink and color on paper, ink on gold-flecked paper.","Signed Wu Qingxia, with two seals of the artist.",,,,,18×48 cm. 约0.78平尺,"10,000-15,000"
325,*,吴湖帆,书画合璧扇,,,18.5×49 cm. 约0.82平尺,成扇 设色纸本,,正面：前年所见释济山水卷子，事阻未获，今春复遇得之，系以七律一首志欣焉。满纸云烟满眼空，不可思议画禅通。朅来谁识栖梁燕，得失人归悬楚弓。几度移星知换物，一声变征却调宫。溪山依旧原无恙，往事浑疑梦寐中。丁卯四月，为镜波道兄画扇，仿石涛笔法，即请正之，吴湖帆作于嵩山草堂。 钤印：湖帆书画<br>背面：家住秦楼更近东，紫骝认得旧游踪。凭谁细话当时事，歌尽桃花扇底风。花易落柳无穷春，寒帘幕幕几重重。秋千散后朦胧月，人在巫山第几峰。集小山词句，镜波先生法家，吴湖帆。 钤印：湖帆书画,,,,是箑作于1927年，因一件辗转方始收入藏箧的石涛山水手卷而起意。吴湖帆山水多自四王上溯前贤，仿石涛笔意者比较少见，此扇和吴氏自刊《梅景画笈》所载《梦游种药》（北京诚轩2016年秋季拍卖会编号54拍品），为其仿石涛作品之珍贵例证。拍品正面绘高士观瀑，其滋润的笔墨、恣肆蓊郁的草木，均得石涛神韵，反映出画家早年转益多师的画艺历程。<br>此扇作于冯超然之嵩山草堂，冯吴二家在上海比邻而居，据冯氏弟子陆俨少回忆，吴湖帆经常一日之内多次往返冯寓，切磋艺事。中国书画（一）编号148拍品冯超然《仿古四季山水四屏》题识中亦记载“（吴湖帆）遂于予斋吮毫立就一小幅，离披零乱，颇得神似”，二人之交谊可见一斑。值得一提的是，扇中长题一反传统的阅读习惯，自左向右书写，实属罕见，当是吴氏早年的一种尝试。<br>上款“镜波”即朱镜波（1889-1968），斋号月波楼，江苏苏州人，久居沪上，擅绘山水花鸟，好收藏，与吴湖帆过从甚密。,,,,,,WU HUFAN ,PAINTING AND CALLIGRAPHY,1927,"Folding fan, ink and color on paper.","Signed Wu Hufan, dated 1927, with one seal of the artist.",,,,,18.5×49 cm. 约0.82平尺,"60,000-80,000"
326,,陶冷月,春山十里响泉声,,,18×50 cm. 约0.81平尺,成扇 设色纸本,,题识：春山十里响泉声。子衡先生雅正，陶冷月。<br>钤印：宏斋、冷月,,,,上款“子衡”即梁子衡（1904-1983），北京人，曾任上海朵云轩经理。对绘事颇有专研，精鉴藏，与众多书画家、收藏家交往密切。据陶冷月年谱所载，是扇作于1959年11月3日，当时画家被戴上“右派”帽子，门庭冷落，梁子衡仍前来求画，可见其对艺事之热爱及二人交谊之真挚。,,《陶冷月年谱长编·上·年谱》第383页，上海书画出版社，2013年3月<br>《陶冷月年谱长编·下·冷月画识》第954页，编号34413，上海书画出版社，2013年3月,,,,TAO LENGYUE ,WATERFALL IN MOUNTAINS,1959,"Folding fan, ink and color on paper.","Signed Tao Lengyue, entitled, with two seals of the artist.",,,,,18×50 cm. 约0.81平尺,"20,000-28,000"
327,*,吴湖帆,闹红一舸,王同愈,节录《周易》,19×50 cm. 约0.86平尺,成扇 设色纸本、水墨洒金笺,,正面：莲溪曰：可远观而不可亵玩也。己卯秋日，写为巨川先生法家雅正，吴湖帆。 钤印：倩盦、闹红一舸<br>背面：（文略）己卯中秋率书，以奉巨川仁兄之教，八十五叟王同愈。<br>钤印：栩缘八十后作,,,,吴湖帆的花卉中，以画荷最胜。1936年的《雾障青罗》是其荷花题材的滥觞之作，画家在题识中称：“余素不能写生，是夏与静淑相对盆荷，颇发画兴，即纵笔赋色，一气呵成，觉古人无此格也。”他用八大山人的大写意笔法和恽寿平的没骨设色结合，风格清丽，被世人称为“吴装荷花”。<br>《闹红一舸》作于1939年，画中娇荷两朵隐现于叶片的遮护下，叶片洋洋洒洒，自上下铺探而入，似入无边荷塘。吴湖帆笔下荷花用色最为人称道，画中花瓣用白粉与胭脂相撞，显出丰富的层次，色彩过渡自然；叶片以饱含水分的淡绿染出，水气满盈，与花朵相得益彰。翠盖朱裳，鲜而不浓艳，清丽脱俗，正如周敦颐句“可远观而不可亵玩焉”。<br>“巨川”即方巨川，浙江宁波人，民国金融界人士，曾任金城银行经理、董事，中国垦业银行监察人，大生纱厂董事、监察人，工余雅好书画，与陈半丁为至交。<br>扇骨为清代竹刻家赵琪以浅刻法雕王素画稿。赵琪，字竹宾，江苏仪征人，曾从王素习人物画，亦精于浅刻。是作所刻仕女鬓发、柳丝双燕、童子衣褶，无不细致精微，栩栩如生。,,,,,,WU HUFAN AND WANG TONGYU ,LOTUS,1939,"Folding fan, ink and color on paper, ink on gold-flecked paper.","Signed Wu Hufan, dated jimao,1939, with a dedication and two seals of the artist.",,,,,19×50 cm. 约0.86平尺," 350,000-450,000"
328,*,吴湖帆,偃盖反走虬龙形,商承祚,甲骨卜辞,18.4×51.2 cm. 约0.85平尺,成扇 水墨纸本,,正面：仿倪文正，谱孙五兄属，辛未（1931年）五月，吴湖帆。 钤印：吴万<br>背面：（文略）谱孙五兄属正，商承祚。<br>钤印：契斋,,,,上款“谱孙”即潘谱孙，江苏苏州人，潘静淑族兄，曾任苏州田业银行无锡分行常务董事，与苏州名士顾颉刚、吴梅等时有过从，好收藏，所藏竹刻曾参加1937年“上海文献展览会”。,,,,,,WU HUFAN AND SHANG CHENGZUO ,PINE,,"Folding fan, ink on paper.","Signed Wu Hufan, with a dedication and one seal of the artist.",,,,,18.4×51.2 cm. 约0.85平尺," 60,000-80,000"
